Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Notification Enabled,Sound Notification Enabled,Notification Is Repeatable,Delay Before Repeating,Subscribing Offset,Notification Sound
NQZ4.CME@RITHMIC,21011,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20934,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20892,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20799,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20678,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20633,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20628,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20614,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20605,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20582,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20566,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20556,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20514,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20501,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20481,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20450,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20430,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20410,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20479,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20357,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20350,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20332,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20298,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20286,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20265,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20233,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20140,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20102,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,20063,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,18445,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,18800,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,18830,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,18450,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,18960,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,18940,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,18890,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,19595,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,19520,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,19275,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,19465,mHVN,#ffffff,#da611e,left,,,,,,
NQZ4.CME@RITHMIC,19610,mHVN,#ffffff,#da611e,left,,,,,,
